budget,genres,id,revenue,runtime,vote_average,vote_count,rating
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,3.5
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,4.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,2.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,5.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,3.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,3.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,4.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,5.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,4.5
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,3.5
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,2.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,3.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,4.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,4.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,3.0
60000000.0,Action,949,187436818.0,170.0,7.7,1886.0,4.0
58000000.0,Adventure,710,352194034.0,130.0,6.6,1194.0,1.0
58000000.0,Adventure,710,352194034.0,130.0,6.6,1194.0,2.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,1.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,5.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,5.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,1.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,3.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,5.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,5.0
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,2.5
98000000.0,Action,1408,10017322.0,119.0,5.7,137.0,4.5
